cd_id,cd_cliente,cd_unidade,cd_id_talhao,cd_fazenda,cd_zona,cd_talhao,desc_operac,processo_macro,data_operacao,DAP,semana_ano,id_safra,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local
615397000024,24,1,1355205619000024,1001,1,4,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-23,53,52,601,6,6ugd,6ugdu,6ugdu9
615401000024,24,1,1355205619000024,1001,1,4,T. Culturais - Controle de Doença - Soja,fungicida,2024-12-30,60,1,601,6,6ugd,6ugdu,6ugdu9
615401000024,24,1,1355205619000024,1001,1,4,T. Culturais - Controle de Doença - Soja,fungicida,2025-01-21,82,4,601,6,6ugd,6ugdu,6ugdu9
615403000024,24,1,1355205619000024,1001,1,4,TC Aplicação Dessecação da Cultura - Soja,herbicida,2025-02-26,118,9,601,6,6ugd,6ugdu,6ugdu9
573788000013,13,3,974065385000013,2,45,12,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-05,0,40,602,6,6v84,6v84h,6v84hs
42224560000024,24,1,1355205624000024,1001,1,45,Plantio Mecanizado - Soja,plantio,2023-10-29,0,43,602,6,6uge,6uge5,6uge5f
615397000024,24,1,1355205624000024,1001,1,45,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2023-12-06,38,49,602,6,6uge,6uge5,6uge5f
615401000024,24,1,1355205624000024,1001,1,45,T. Culturais - Controle de Doença - Soja,fungicida,2023-12-26,58,52,602,6,6uge,6uge5,6uge5f
615401000024,24,1,1355205624000024,1001,1,45,T. Culturais - Controle de Doença - Soja,fungicida,2024-01-17,80,3,602,6,6uge,6uge5,6uge5f
615403000024,24,1,1355205624000024,1001,1,45,TC Aplicação Dessecação da Cultura - Soja,herbicida,2024-02-28,122,9,602,6,6uge,6uge5,6uge5f
573788000013,13,3,974065399000013,2,45,2,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-02,0,40,603,6,6v84,6v84k,6v84ke
42224560000024,24,1,1355205625000024,1001,1,46,Plantio Mecanizado - Soja,plantio,2025-10-11,0,41,603,6,6uge,6uge5,6uge5s
615395000024,24,1,1355205625000024,1001,1,46,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2025-10-28,17,44,603,6,6uge,6uge5,6uge5s
615400000024,24,1,1355205625000024,1001,1,46,T. Culturais - Controle de Outras Pragas - Soja,inseticida,2025-11-04,24,45,603,6,6uge,6uge5,6uge5s
615397000024,24,1,1355205625000024,1001,1,46,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2025-12-03,53,49,603,6,6uge,6uge5,6uge5s
615401000024,24,1,1355205625000024,1001,1,46,T. Culturais - Controle de Doença - Soja,fungicida,2025-12-26,76,52,603,6,6uge,6uge5,6uge5s
615401000024,24,1,1355205625000024,1001,1,46,T. Culturais - Controle de Doença - Soja,fungicida,2026-01-19,100,4,603,6,6uge,6uge5,6uge5s
615403000024,24,1,1355205625000024,1001,1,46,TC Aplicação Dessecação da Cultura - Soja,herbicida,2026-02-03,115,6,603,6,6uge,6uge5,6uge5s
573788000013,13,3,974065400000013,2,45,3,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-02,0,40,604,6,6v84,6v84k,6v84k7
42224560000024,24,1,1355205626000024,1001,1,5,Plantio Mecanizado - Soja,plantio,2024-10-31,0,44,604,6,6ugd,6ugdu,6ugdud
